记录类型,优先级,接入状态,模态大类,模态编码,能力类型,能力编码,输入模态,输入模态编码,输出模态,输出模态编码,供应商分类,供应商分类编码,供应商编码,供应商名称,厂商,协议族,协议适配器键,模型族键,模型族名称,模型名称或模式,示例模型,官网,控制台,文档地址,余额地址,价格地址,默认Base URL,默认Endpoint,HTTP方法,鉴权方式,API Key环境变量,额外鉴权字段,是否已有Worker支持,可复用级别,复用Client键,复用Handler键,复用持久化键,复用结果Schema键,复用前端渲染键,复用表单模板键,兼容供应商编码,共用请求参数,供应商特有参数,默认参数JSON,参数映射JSON,共用响应契约,供应商响应差异,结果资源类型,是否媒体落盘,媒体URL模式,计费方式,计费单位,币种,输入价每百万Token,输出价每百万Token,按次价格,按单位价格,免费额度,建议预估算力,算力倍率,BillableUnits来源,限流RPM,限流TPM,并发限制,默认超时秒,重试策略,是否支持幂等,是否需要文件上传,上传Endpoint,是否需要下载结果,安全与合规要点,后端Provider注册,后端模型配置,后端工具模板,后端结果Schema,Worker Registry,Worker Client文件,Worker Handler文件,Worker持久化文件,Worker路由规则,前端表单,前端结果渲染,测试命令,验收标准,已知风险,价格核对日期,最后验证日期,开发备注
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,xai_grok,xAI Grok,xAI,openai_chat_completions,chat_completions_adapter,lingke_text_xai,grok-4.3,grok-4.3,grok-4.3,https://x.ai,https://console.x.ai,https://docs.x.ai/developers/models,https://console.x.ai,https://docs.x.ai/developers/pricing,https://api.x.ai,/chat/completions,POST,bearer,XAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; xai_grok,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,1.25,2.50,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=113;厂商备注:;简介:xAI 旗舰 Grok 4.3，面向低幻觉率、代理工具调用和严格指令跟随能力优化，适合复杂推理、代码协作、策略分析与高实时性对话场景。
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,图片|音频|文本,IMAGE|AUDIO|TEXT,视频,VIDEO,厂商适配,vendor,vidu_video,生数科技Vidu,生数科技,vidu_video,vidu_video_adapter,lingke_video_vidu,VIDU-音乐MV,one-click-mv,one-click-mv,https://www.vidu.cn,https://platform.vidu.com,https://platform.vidu.com/docs/,https://platform.vidu.com,https://platform.vidu.com/docs/pricing,https://api.vidu.com,/ent/v2/one-click/mv,POST,bearer,VIDU_API_KEY,,部分复用,中复用,vidu_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; vidu_video,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,USD,,,,,,20,1,按成片秒数,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=112;厂商备注:官方One Click AI MV;简介:Vidu 音乐MV：上传 1～7 张人物/风格参考图 + 1 个音频（首尾合成1～180秒）即可生成一条有叙事、有画面的 MV，支持 540p/720p/1080p 多画幅 + 可选对口型 + 自动字
具体模型,P0,待接入,image,image,图片生成,IMAGE_GENERATION,文本|图片,TEXT|IMAGE,图片,IMAGE,厂商适配,vendor,vidu_video,生数科技Vidu,生数科技,vidu_video,vidu_video_adapter,lingke_image_vidu,VIDU Image 2,viduq2,viduq2,https://www.vidu.cn,https://platform.vidu.com,https://platform.vidu.com/docs/,https://platform.vidu.com,https://platform.vidu.com/docs/pricing,https://api.vidu.com,/ent/v2/reference2image,POST,bearer,VIDU_API_KEY,,部分复用,高复用,vidu_video_client,image_generation_handler,generated_image_persister,image_gallery_result,image_renderer,image_generation_default,siliconflow_images; fal_images; replicate_images; stability_images; vidu_video,"model,prompt,image_size,batch_size,negative_prompt,seed","guidance_scale,num_inference_steps,style,quality,response_format","{""image_size"":""1024x1024"",""batch_size"":1}","{""prompt"":""prompt"",""aspectRatio"":""image_size"",""count"":""batch_size""}",contentJson.images[]包含url/sourceUrl/width/height；resourceType=IMAGE,有的返回URL，有的返回base64，有的是异步jobId,IMAGE,true,/generated/images/{taskId}/image-{n}.png,PER_IMAGE,image,USD,,,,,,10,1,billableUnits,,,,600,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/siliconflow_video_client.py,worker/handlers/image_generation_handler.py,worker/handlers/generated_image_persister.py,executionHandler=IMAGE_GENERATION 或 toolType=IMAGE_GENERATION,image_generation_default,ResultRenderer图片画廊,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=111;厂商备注:站点称viduimage-2；官方model=viduq2;简介:Vidu 官方 reference2image：模型 viduimage-2，支持文生图、多图参考与图片编辑；最高 3K，质量与画幅可调。
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,文本,TEXT,视频,VIDEO,厂商适配,vendor,alibaba_happyhorse,阿里云HappyHorse,阿里云,dashscope_video,happyhorse_video_adapter,lingke_video_alibaba_happyhorse,快乐马-文生视频,happyhorse-1.0-t2v,happyhorse-1.0-t2v,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/happyhorse-text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/video-generation/video-synthesis,POST,bearer,DASHSCOPE_API_KEY,,部分复用,中复用,wan_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; alibaba_happyhorse,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,CNY,,,,,,50,1,按秒,,,,900,超时/网络错误重试1次；4xx不重试,false,false,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=110;厂商备注:720P约0.9元/秒、1080P约1.6元/秒;简介:阿里百炼 HappyHorse（文生视频）：纯文本描述即可生成运动连贯、光影自然的短视频；支持 720P/1080P、3–15 秒多档时长，5 种宽高比自由选择。
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,文本|图片,TEXT|IMAGE,视频,VIDEO,厂商适配,vendor,vidu_video,生数科技Vidu,生数科技,vidu_video,vidu_video_adapter,lingke_video_vidu,VIDU-解说漫,one-click-general-film,one-click-general-film,https://www.vidu.cn,https://platform.vidu.com,https://platform.vidu.com/docs/,https://platform.vidu.com,https://platform.vidu.com/docs/pricing,https://api.vidu.com,/ent/v2/one-click/general-film,POST,bearer,VIDU_API_KEY,,部分复用,中复用,vidu_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; vidu_video,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,USD,,,,,,20,1,按成片秒数,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=109;厂商备注:解说漫；见platform.vidu.com/docs/one-click-general-film;简介:Vidu 官方「解说漫」：以剧本驱动的解说向漫剧视频模型，支持 3–10 个角色/场景/道具参考图与独立角色音色，自带中英 TTS 与对口型。720P/1080P 多画幅可选，按实际成片秒数计费；上游
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,视频|图片|文本,VIDEO|IMAGE|TEXT,视频,VIDEO,厂商适配,vendor,alibaba_happyhorse,阿里云HappyHorse,阿里云,dashscope_video,happyhorse_video_adapter,lingke_video_alibaba_happyhorse,快乐马-视频编辑,happyhorse-video-edit,happyhorse-video-edit,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/happyhorse-text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/video-generation/video-synthesis,POST,bearer,DASHSCOPE_API_KEY,,部分复用,中复用,wan_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; alibaba_happyhorse,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,CNY,,,,,,50,1,按秒,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=108;厂商备注:按输入+输出视频时长合计计费;简介:阿里百炼 HappyHorse 视频编辑：以一段已有视频为主线，可选用参考图锚定物体或人物外形，再配合自然语言完成风格迁移、换装、局部改写等；支持 720P/1080P，成片时长与原片相关。⚠️ 特殊
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,文本|图片,TEXT|IMAGE,视频,VIDEO,厂商适配,vendor,alibaba_happyhorse,阿里云HappyHorse,阿里云,dashscope_video,happyhorse_video_adapter,lingke_video_alibaba_happyhorse,快乐马-参考生,happyhorse-1.0-r2v,happyhorse-1.0-r2v,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/happyhorse-text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/video-generation/video-synthesis,POST,bearer,DASHSCOPE_API_KEY,,部分复用,中复用,wan_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; alibaba_happyhorse,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,CNY,,,,,,50,1,按秒,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=107;厂商备注:;简介:阿里百炼 HappyHorse 参考生（R2V）：可把多张参考图中的角色/物件融合进同一段短片。支持 720P/1080P、约 3–15 秒、多种画面比例（如 16:9、9:16）。
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,图片|文本,IMAGE|TEXT,视频,VIDEO,厂商适配,vendor,alibaba_happyhorse,阿里云HappyHorse,阿里云,dashscope_video,happyhorse_video_adapter,lingke_video_alibaba_happyhorse,快乐马-首帧,happyhorse-1.0-i2v,happyhorse-1.0-i2v,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/happyhorse-text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/video-generation/video-synthesis,POST,bearer,DASHSCOPE_API_KEY,,部分复用,中复用,wan_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; alibaba_happyhorse,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,CNY,,,,,,50,1,按秒,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=106;厂商备注:;简介:阿里百炼 HappyHorse（图生视频）：以单张图片作首帧与视觉锚点，结合提示词生成运动连贯、光影自然的短视频；仅支持带图生成。支持 720P/1080P、3–15 秒多档时长，画幅随首帧自适应。
具体模型,P0,待接入,audio,audio,文字转语音,TEXT_TO_SPEECH,文本,TEXT,音频,AUDIO,厂商适配,vendor,google_gemini_tts,Google Gemini TTS,Google,gemini_tts,gemini_tts_adapter,lingke_audio_google_tts,Gemini-3.1-TTS,gemini-3.1-flash-tts,gemini-3.1-flash-tts,https://ai.google.dev,https://aistudio.google.com,https://ai.google.dev/gemini-api/docs,https://aistudio.google.com,https://ai.google.dev/gemini-api/docs/pricing,https://generativelanguage.googleapis.com,/v1beta/models/gemini-3.1-flash-tts:generateContent,POST,api_key,GEMINI_API_KEY,,部分复用,中高复用,text_to_speech_client,text_to_speech_handler,generated_audio_persister,audio_result,audio_renderer,tts_default,minimax_speech; siliconflow_speech; google_gemini_tts,"model,text,voice,format","speed,volume,pitch,language,sample_rate,bitrate,emotion","{""format"":""mp3""}","{""text"":""text"",""voice"":""voice_id"",""format"":""format""}",contentJson.audios[]包含url/contentType/duration；resourceType=AUDIO,同步/异步、voiceId、返回音频字段差异较大,AUDIO,true,/generated/audio/{taskId}/audio-{n}.mp3,TOKEN_PER_M,tokens,USD,TODO,TODO,,,,5,1,字符或token,,,,900,超时/网络错误重试1次；4xx不重试,false,false,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/text_to_speech_client.py,worker/handlers/text_to_speech_handler.py,worker/handlers/generated_audio_persister.py,executionHandler=TEXT_TO_SPEECH,tts_default,ResultRenderer音频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=104;厂商备注:;简介:Google Gemini 3.1 Flash 原生文字转语音模型，支持30种预置音色和24种语言，支持双人对话，支持自然语言描述语气，速度更快、价格更优。  支持各种长文本朗读，有声小说，多人对话，
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,openai,OpenAI,OpenAI,openai_chat_completions,chat_completions_adapter,lingke_text_openai,GPT-5.5 低推理,gpt-5.5,gpt-5.5,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing,https://api.openai.com/v1,/responses,POST,bearer,OPENAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; openai,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,5,30,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=103;厂商备注:reasoning_effort=low;简介:GPT-5.5-low 是 OpenAI 推出的轻量推理版本，速度极快且成本最低，适合高并发、轻量型推理任务。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,openai,OpenAI,OpenAI,openai_chat_completions,chat_completions_adapter,lingke_text_openai,GPT-5.5 中推理,gpt-5.5,gpt-5.5,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing,https://api.openai.com/v1,/responses,POST,bearer,OPENAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; openai,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,5,30,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=102;厂商备注:reasoning_effort=medium;简介:GPT-5.5-medium 是 OpenAI 推出的中等推理强度版本，在质量、速度、成本之间达到优雅平衡，适合日常推理任务。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,openai,OpenAI,OpenAI,openai_chat_completions,chat_completions_adapter,lingke_text_openai,GPT-5.5 高推理,gpt-5.5,gpt-5.5,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing,https://api.openai.com/v1,/responses,POST,bearer,OPENAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; openai,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,5,30,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=101;厂商备注:reasoning_effort=high;简介:GPT-5.5-high 是 OpenAI 推出的高强度推理版本，在推理深度与响应速度之间取得良好平衡，适合中高难度推理任务。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,openai,OpenAI,OpenAI,openai_chat_completions,chat_completions_adapter,lingke_text_openai,GPT-5.5 深度推理,gpt-5.5,gpt-5.5,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing,https://api.openai.com/v1,/responses,POST,bearer,OPENAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; openai,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,5,30,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=100;厂商备注:reasoning_effort=xhigh;简介:GPT-5.5-xhigh 是 OpenAI 推出的最高推理强度版本，专为需要深度逻辑分析、多步骤严谨论证的复杂专业场景设计。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,openai,OpenAI,OpenAI,openai_chat_completions,chat_completions_adapter,lingke_text_openai,GPT-5.5,gpt-5.5,gpt-5.5,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing,https://api.openai.com/v1,/responses,POST,bearer,OPENAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; openai,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,5,30,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=99;厂商备注:;简介:GPT-5.5 是 OpenAI 推出的新一代旗舰模型，全面提升对话流畅度、多模态理解与代码能力，适合高质量多轮对话与专业场景。
